features,aggregate
CMYA5|202333,0.0025159897937422717
CNKSR1|10256,0.0011327038590304465
CNNM3|26505,0.001839807301963821
CNOT1|23019,0.0052105308920588666
CNPY2|10330,0.0013705739116741333
CNPY3|10695,0.0031823108888030874
CNTN6|27255,0.0029243552094270924
COG4|25839,0.0008363704390691937
COG7|91949,0.0013216607714386915
COL13A1|1305,0.0015351123101674323
COL21A1|81578,0.00951974407481136
COL23A1|91522,0.0012255862398318066
COL24A1|255631,0.004475167225004404
COL27A1|85301,0.0027765408112092648
COL4A2|1284,0.004996200013442888
COL5A1|1289,0.0008154059810092328
COL5A3|50509,0.0017626038447388283
COL6A1|1291,0.0013720042172976437
COL6A6|131873,0.008693678828485858
COMMD2|51122,0.0013194554479669589
COMMD6|170622,0.00416459896380677
COMMD8|54951,0.0011266986057654094
COMTD1|118881,0.004180913983919043
COP1|114769,0.001468691196272048
COPG2|26958,0.005966268661503325
COQ7|10229,0.0010014393315129523
CORT|1325,0.0031047710738812645
COX5B|1329,0.002198571643381049
COX6B2|125965,0.0012146613789748167
CPA5|93979,0.0009740897734908118
CPAMD8|27151,0.0013477666048459479
CPM|1368,0.0014661366760422919
CPSF3|51692,0.0008551805811197921
CREB1|1385,0.0037814425042492373
CREM|1390,0.0016305533919010982
CRH|1392,0.004719470262187727
CRIPT|9419,0.00105770830983797
CRISPLD2|83716,0.0016318704055868147
CRTAP|10491,0.006506289901189539
CRYBA2|1412,0.0035231986664444317
CRYBA4|1413,0.0016913471123341775
CRYBB2|1415,0.0025934962453616874
CRYGD|1421,0.0019622734572051544
CSAD|51380,0.006157480820796843
CSDE1|7812,0.002134302176084686
CSK|1445,0.0009044425119426568
CSMD1|64478,0.0009491960556705452
CSN1S1|1446,0.004054356894202825
CSNK1A1|1452,0.0026545037427474737
CSNK1D|1453,0.0011156603516843482
CSNK2A2|1459,0.0035151537843594407
CSNK2B|1460,0.002738007224971584
CSPG5|10675,0.0015633151027088094
CSRP2|1466,0.0029248436721260583
CSTF2|1478,0.0028140519785769327
CTHRC1|115908,0.0059136496950177525
CTIF|9811,0.0037737828405559185
CTNNA1|1495,0.001841092581318405
CTNNB1|1499,0.0034511087953042756
CTNNBL1|56259,0.0019092333853255134
CTNND2|1501,0.0021579297880136667
CTPS2|56474,0.00223439459826778
CTRL|1506,0.0015634097311011915
CTSA|5476,0.0008426130991341405
CTSH|1512,0.009562620076689529
CTSL2|1515,0.0038362350850398752
CTTNBP2|83992,0.0014770748954790274
CTTN|2017,0.004342452962438069
CUBN|8029,0.004242836482606769
CWC15|51503,0.007854500508316967
CWF19L1|55280,0.0020990022921202342
CXCL12|6387,0.004513807108060984
CXCL14|9547,0.0016877368462226124
CXCL1|2919,0.0023995157548591956
CXCL5|6374,0.003291170655925094
CXCR4|7852,0.0032640535156649164
CXXC4|80319,0.00492827880135502
CXXC5|51523,0.0020247271731336698
CXorf21|80231,0.007473623938314678
CXorf36|79742,0.0010717274315706518
CXorf56|63932,0.0019013602449294243
CYFIP1|23191,0.003671102613152377
CYP24A1|1591,0.002695486074043602
CYP2A6|1548,0.0021346740975986297
CYP2A7|1549,0.0020601752064895195
CYP2E1|1571,0.0010647460721201936
CYP2J2|1573,0.0012190331985884619
CYP4B1|1580,0.001386783168972981
CYTL1|54360,0.004131567368336038
DACT3|147906,0.006275642940745757
DAGLB|221955,0.0015723900361204377
