2020-12-08 19:02:56.991965 

No Pre-selection of Features
This run includes 3 GCNs - mRNA, DNA methylation, miRNA 


Training...
Epoch 0, Train loss: C1:2.15e-01, C2:1.38e-01, C3:6.62e-02, C:3.85e-01
Epoch 178, Train loss: C1:4.53e+01, C2:3.32e+02, C3:4.22e-03, C:2.26e-01
Epoch 179, Train loss: C1:3.80e+01, C2:3.88e+02, C3:4.02e-03, C:2.16e-01
Epoch 180, Train loss: C1:2.19e+01, C2:3.50e+02, C3:3.94e-03, C:2.14e-01
Epoch 181, Train loss: C1:1.07e+01, C2:2.31e+02, C3:3.81e-03, C:2.11e-01
Epoch 182, Train loss: C1:9.62e+00, C2:2.65e+02, C3:3.98e-03, C:2.28e-01
Epoch 183, Train loss: C1:1.50e+01, C2:3.78e+02, C3:4.08e-03, C:2.11e-01
Epoch 184, Train loss: C1:1.71e+01, C2:3.99e+02, C3:3.91e-03, C:2.21e-01
Epoch 185, Train loss: C1:2.05e+01, C2:4.25e+02, C3:4.13e-03, C:2.14e-01
Epoch 186, Train loss: C1:2.27e+01, C2:4.49e+02, C3:3.92e-03, C:2.24e-01
Epoch 187, Train loss: C1:2.09e+01, C2:3.43e+02, C3:4.01e-03, C:2.20e-01
Epoch 188, Train loss: C1:1.25e+01, C2:3.17e+02, C3:3.72e-03, C:2.05e-01
Epoch 189, Train loss: C1:9.12e+00, C2:2.76e+02, C3:3.82e-03, C:2.28e-01
Epoch 190, Train loss: C1:1.07e+01, C2:3.23e+02, C3:3.81e-03, C:2.11e-01
Epoch 191, Train loss: C1:1.35e+01, C2:3.81e+02, C3:3.91e-03, C:2.21e-01
Epoch 192, Train loss: C1:1.59e+01, C2:4.10e+02, C3:3.68e-03, C:2.21e-01
Epoch 193, Train loss: C1:1.52e+01, C2:3.17e+02, C3:3.73e-03, C:2.06e-01
Epoch 194, Train loss: C1:1.36e+01, C2:1.95e+02, C3:3.70e-03, C:2.26e-01
Epoch 195, Train loss: C1:1.01e+01, C2:2.75e+02, C3:3.59e-03, C:2.03e-01
Epoch 196, Train loss: C1:9.65e+00, C2:3.98e+02, C3:3.63e-03, C:2.05e-01
Epoch 197, Train loss: C1:1.96e+01, C2:4.97e+02, C3:3.69e-03, C:2.10e-01
Epoch 198, Train loss: C1:3.40e+01, C2:3.83e+02, C3:3.62e-03, C:1.98e-01
Epoch 199, Train loss: C1:4.09e+01, C2:2.98e+02, C3:3.74e-03, C:2.13e-01
Epoch 200, Train loss: C1:4.10e+01, C2:2.19e+02, C3:3.65e-03, C:1.91e-01

Test: Epoch 200
Train Accuracy: 0.4932   Test ACC: 0.4837
Train F1: 0.3413         Test F1: 0.3154

Epoch 201, Train loss: C1:3.66e+01, C2:2.28e+02, C3:3.62e-03, C:2.14e-01
Epoch 202, Train loss: C1:2.88e+01, C2:4.31e+02, C3:3.60e-03, C:2.11e-01
Epoch 203, Train loss: C1:2.05e+01, C2:7.29e+02, C3:3.69e-03, C:1.85e-01
Epoch 204, Train loss: C1:1.55e+01, C2:9.20e+02, C3:3.79e-03, C:2.13e-01
Epoch 205, Train loss: C1:1.45e+01, C2:7.69e+02, C3:3.66e-03, C:2.06e-01
