,mRNA
668,0.007399676367640495
669,0.007481600623577833
670,0.007433583959937096
671,0.007451954297721386
672,0.007560985162854195
673,0.007335104048252106
674,0.007612021639943123
675,0.007343587931245565
676,0.0074340347200632095
677,0.00742283696308732
678,0.007478336803615093
679,0.007264213636517525
680,0.007496741134673357
681,0.007328020874410868
682,0.007272144313901663
683,0.007222500629723072
684,0.0073287105187773705
685,0.0070734452456235886
686,0.007351396605372429
687,0.007320184726268053
688,0.00730133568868041
689,0.007212300784885883
690,0.007329884450882673
691,0.007267514243721962
692,0.007585481274873018
693,0.007448185700923204
694,0.007286922540515661
695,0.0073109888471663
696,0.0071354033425450325
697,0.0073302136734128
698,0.007346754427999258
699,0.007372346706688404
700,0.0071970927529037
701,0.007267140317708254
702,0.0071979607455432415
703,0.007374972105026245
704,0.007341089192777872
705,0.0073178913444280624
706,0.007279717829078436
707,0.007306866347789764
708,0.007225240580737591
709,0.007322519551962614
710,0.007208206690847874
711,0.007294980809092522
712,0.00723555451259017
713,0.007213320583105087
714,0.007135266438126564
715,0.007040584925562143
716,0.006956159137189388
717,0.007261903025209904
718,0.007156774867326021
719,0.007185616530478001
720,0.007254840340465307
721,0.00723451841622591
722,0.007107442710548639
723,0.007149362936615944
724,0.0070782192051410675
725,0.007089619990438223
726,0.007192929740995169
727,0.007142593618482351
728,0.007162536960095167
729,0.007191451732069254
730,0.007175628561526537
731,0.006894001737236977
732,0.007203869987279177
733,0.007102631032466888
734,0.007212128024548292
735,0.006985122803598642
736,0.007139102090150118
737,0.0068666464649140835
