,lr,weight_decay,dropout,adj_parameter,tr_acc,tr_F1,test_acc,test_F1
106,0.001,0.0005,0.75,5,0.9961722488038277,0.9961675820226011,0.8532608695652174,0.8551943739490521
107,0.001,0.0005,0.75,8,0.9971291866028709,0.9971245089461149,0.8478260869565217,0.8479247530421269
108,0.001,0.001,0.1,2,0.9961722488038277,0.9961722268962873,0.8586956521739131,0.8595696800727416
109,0.001,0.001,0.1,5,0.9952153110047847,0.9952152671889514,0.8369565217391305,0.8364903370101857
110,0.001,0.001,0.1,8,0.999043062200957,0.9990430567240719,0.8478260869565217,0.8442331992927238
111,0.001,0.001,0.25,2,0.9961722488038277,0.9961722105438731,0.8369565217391305,0.8327550326667329
112,0.001,0.001,0.25,5,0.9942583732057416,0.9942671432430941,0.8532608695652174,0.8482852711618362
113,0.001,0.001,0.25,8,0.9971291866028709,0.9971291811259858,0.8532608695652174,0.8474950761882458
114,0.001,0.001,0.5,2,0.9971291866028709,0.9971314486346673,0.8478260869565217,0.8476707591519655
115,0.001,0.001,0.5,5,0.9961722488038277,0.9961722323731723,0.8641304347826086,0.8581907064429181
116,0.001,0.001,0.5,8,0.9980861244019139,0.9980883864337102,0.8478260869565217,0.8415046481087317
117,0.001,0.001,0.75,2,0.9885167464114832,0.9885222404385242,0.8260869565217391,0.8297376865477747
118,0.001,0.001,0.75,5,0.9894736842105263,0.9894412087401188,0.8641304347826086,0.8635585752804068
119,0.001,0.001,0.75,8,0.9856459330143541,0.9856112963662554,0.8532608695652174,0.856222250110296
120,0.001,0.003,0.1,2,0.9732057416267943,0.9731598825184002,0.842391304347826,0.8450774952743759
121,0.001,0.003,0.1,5,0.9770334928229665,0.9770267945005983,0.8586956521739131,0.8568468780344862
122,0.001,0.003,0.1,8,0.9837320574162679,0.9836983978322521,0.8478260869565217,0.8505241818162487
123,0.001,0.003,0.25,2,0.9770334928229665,0.9770283559836663,0.8478260869565217,0.84984378415907
124,0.001,0.003,0.25,5,0.9827751196172249,0.9827459228416501,0.8369565217391305,0.8377049557848195
125,0.001,0.003,0.25,8,0.9607655502392345,0.9603818986334323,0.8152173913043478,0.8201509174335261
126,0.001,0.003,0.5,2,0.968421052631579,0.9683329643377351,0.8532608695652174,0.8535342027485223
127,0.001,0.003,0.5,5,0.9770334928229665,0.9769617516166326,0.842391304347826,0.8447043844222383
128,0.001,0.003,0.5,8,0.9722488038277513,0.9721899119856505,0.8532608695652174,0.8552912311284332
129,0.001,0.003,0.75,2,0.9244019138755981,0.9221096813657723,0.8206521739130435,0.8248476202185094
130,0.001,0.003,0.75,5,0.9598086124401913,0.9596525590870657,0.8641304347826086,0.8638737922705313
131,0.001,0.003,0.75,8,0.9617224880382775,0.9615476457533615,0.8369565217391305,0.8410634094421602
132,0.001,0.005,0.1,2,0.938755980861244,0.937678323262198,0.842391304347826,0.8469960997134909
133,0.001,0.005,0.1,5,0.9244019138755981,0.9221248745776798,0.782608695652174,0.7906491950897564
134,0.001,0.005,0.1,8,0.939712918660287,0.9384203330717553,0.8260869565217391,0.8318208211132441
135,0.001,0.005,0.25,2,0.9100478468899521,0.9065216701510939,0.782608695652174,0.7906491950897564
