2020-10-28 14:39:57.011852 

This run includes 6 GCNs: mRNA, miRNA, meth, naive_mRNA-mRNA, naive_miRNA-miRNA, naive_meth-meth 


Training...
Epoch 0, Train loss: C1:1.23e-01, C2:2.21e-01, C3:7.16e-02, C4:1.07e-01, C5:6.41e-02, C6:6.52e-02, C:5.53e-01
Epoch 88, Train loss: C1:1.43e-02, C2:1.71e-02, C3:1.43e-02, C4:8.42e+01, C5:4.17e+02, C6:8.28e+00, C:7.64e-01
Epoch 89, Train loss: C1:1.48e-02, C2:1.69e-02, C3:1.40e-02, C4:1.47e+02, C5:4.44e+02, C6:8.33e+00, C:3.53e-01
Epoch 90, Train loss: C1:1.44e-02, C2:1.70e-02, C3:1.39e-02, C4:2.00e+02, C5:4.32e+02, C6:7.09e+00, C:3.31e-01
Epoch 91, Train loss: C1:1.43e-02, C2:1.68e-02, C3:1.39e-02, C4:1.96e+02, C5:3.80e+02, C6:7.70e+00, C:3.47e-01
Epoch 92, Train loss: C1:1.43e-02, C2:1.71e-02, C3:1.43e-02, C4:1.75e+02, C5:3.05e+02, C6:8.18e+00, C:5.06e-01
Epoch 93, Train loss: C1:1.42e-02, C2:1.69e-02, C3:1.41e-02, C4:1.53e+02, C5:2.90e+02, C6:8.30e+00, C:2.79e-01
Epoch 94, Train loss: C1:1.40e-02, C2:1.70e-02, C3:1.40e-02, C4:1.10e+02, C5:2.31e+02, C6:7.55e+00, C:3.26e-01
Epoch 95, Train loss: C1:1.40e-02, C2:1.67e-02, C3:1.38e-02, C4:7.20e+01, C5:1.85e+02, C6:7.63e+00, C:2.79e-01
Epoch 96, Train loss: C1:1.42e-02, C2:1.65e-02, C3:1.37e-02, C4:4.51e+01, C5:1.91e+02, C6:7.39e+00, C:2.72e-01
Epoch 97, Train loss: C1:1.40e-02, C2:1.70e-02, C3:1.34e-02, C4:4.27e+01, C5:1.74e+02, C6:1.34e+01, C:2.89e-01
Epoch 98, Train loss: C1:1.40e-02, C2:1.69e-02, C3:1.37e-02, C4:7.04e+01, C5:1.62e+02, C6:1.97e+01, C:2.97e-01
Epoch 99, Train loss: C1:1.40e-02, C2:1.67e-02, C3:1.34e-02, C4:1.04e+02, C5:1.67e+02, C6:2.30e+01, C:2.59e-01
Epoch 100, Train loss: C1:1.37e-02, C2:1.64e-02, C3:1.37e-02, C4:1.43e+02, C5:1.71e+02, C6:2.02e+01, C:3.08e-01

Test: Epoch 100
Train Accuracy: 0.5327   Test ACC: 0.5285
Train F1: 0.3703         Test F1: 0.3655

Epoch 101, Train loss: C1:1.39e-02, C2:1.68e-02, C3:1.38e-02, C4:1.96e+02, C5:1.78e+02, C6:1.51e+01, C:2.28e-01
Epoch 102, Train loss: C1:1.38e-02, C2:1.66e-02, C3:1.35e-02, C4:2.62e+02, C5:2.33e+02, C6:1.05e+01, C:3.13e-01
Epoch 103, Train loss: C1:1.36e-02, C2:1.68e-02, C3:1.35e-02, C4:3.11e+02, C5:4.18e+02, C6:7.60e+00, C:2.31e-01
Epoch 104, Train loss: C1:1.39e-02, C2:1.67e-02, C3:1.34e-02, C4:3.44e+02, C5:8.74e+02, C6:7.85e+00, C:3.17e-01
Epoch 105, Train loss: C1:1.39e-02, C2:1.65e-02, C3:1.34e-02, C4:3.58e+02, C5:1.91e+03, C6:1.28e+01, C:2.11e-01
Epoch 106, Train loss: C1:1.40e-02, C2:1.62e-02, C3:1.32e-02, C4:3.65e+02, C5:4.45e+03, C6:1.64e+01, C:3.03e-01
Epoch 107, Train loss: C1:1.37e-02, C2:1.68e-02, C3:1.35e-02, C4:3.23e+02, C5:1.04e+04, C6:1.53e+01, C:2.21e-01
Epoch 108, Train loss: C1:1.37e-02, C2:1.67e-02, C3:1.37e-02, C4:2.41e+02, C5:2.26e+04, C6:1.16e+01, C:2.77e-01
